Code,Gender,Group,Age,Education,YIC_Eng,AOA_Eng,PercUse_Eng,Eng_Speaking,Eng_Reading,Eng_Writing,Eng_Understanding,Language1,Language2,Span_Speaking,Span_Reading,Span_Writing,Span_Listening,EngVF,SpnVF
sercha26,Male,Spanish,28,Bachelor's Degree,1,14,45,8,8,8,8,Spanish,English,9,10,10,10,.,.
silave13,Female,Spanish,32,Bachelor's Degree,0,22,5,2,5,4,5,Spanish,French,8,8,9,9,.,.
sofcep94,Female,Spanish,19,Some College,1,8,5,7,6,5,8,Spanish,English,9,9,8,9,.,.
steher91,.,Spanish,26,Other,.,.,.,.,.,.,.,Spanish,.,7,7,7,7,.,.
stepre60,Female,Spanish,24,Some College,.,.,.,.,.,.,.,Spanish,.,7,7,7,7,.,.
steroz22,Female,Spanish,25,Bachelor's Degree,0,.,8,1,5,2,7,Spanish,English,9,10,9,9,.,.
suhkar01,Female,Spanish,27,Trade School,.,.,.,.,.,.,.,Spanish,.,8,9,8,9,.,.
tamros20,Female,Spanish,23,High School/GED,0.5,6,41,8,9,8,9,Spanish,English,10,10,10,10,.,.
tantri19,Female,Spanish,21,Bachelor's Degree,0.5,9,5,7,7,5,9,Spanish,English,10,10,10,10,.,.
tatcar19,Female,Spanish,18,High School/GED,.,10,14,2,1,4,2,Spanish,English,10,10,10,8,.,.
tatper28,Female,Spanish,23,High School/GED,.,8,20,9,8,8,9,Spanish,English,10,10,10,10,.,.
tatval##,Female,Spanish,33,Master's Degree,.,12,10,3,5,3,3,Spanish,English,9,10,8,8,.,.
tatval27,Female,Spanish,33,Master's Degree,0,12,10,3,3,3,3,Spanish,English,10,20,9,9,.,.
tatvela26,Female,Spanish,21,High School/GED,.,.,.,.,.,.,.,Spanish,.,8,8,8,8,.,.
trican39,Female,Spanish,25,Master's Degree,0,9,23,6,7,6,8,Spanish,English,.,.,.,.,.,.
vivmog33,Female,Spanish,34,Master's Degree,0.1,24,0,1,1,1,1,Spanish,English,9,10,10,8,.,.
wilferandrésalvaradotrompetero,Male,Spanish,15,Some High School,.,.,.,.,.,.,.,Spanish,.,.,.,.,.,.,.
